"StockCode";"CUST_COUNT";"TOTALPRODREVENUE";"NO_OF_SALES";"AVG_REVENUE"
"20674";"76";"1482.48";"173";"8.569249"
"20675";"117";"2930.27";"276";"10.616920"
"20676";"140";"4928.07";"381";"12.934567"
"20677";"101";"3629.49";"286";"12.690524"
"20679";"121";"7289.78";"274";"26.605036"
"20681";"21";"269.71";"38";"7.097632"
"20682";"101";"2357.83";"178";"13.246236"
"20684";"26";"189.31";"33";"5.736667"
"20685";"283";"22722.45";"625";"36.355920"
"20686";"44";"789.42";"70";"11.277429"
"20689";"1";"0.00";"1";"0.000000"
"20694";"8";"142.54";"15";"9.502667"
"20695";"4";"21.25";"4";"5.312500"
"20696";"8";"170.81";"27";"6.326296"
"20697";"9";"53.55";"11";"4.868182"
"20698";"8";"43.35";"8";"5.418750"
"20699";"11";"250.73";"41";"6.115366"
"20700";"4";"329.45";"54";"6.100926"
"20701";"3";"85.97";"19";"4.524737"
"20702";"25";"348.29";"33";"10.554242"
"20703";"2";"-12.75";"2";"-6.375000"
"20704";"28";"475.00";"34";"13.970588"
"20705";"24";"388.75";"26";"14.951923"
"20707";"19";"450.89";"148";"3.046554"
"20711";"141";"10322.99";"510";"20.241157"
"20712";"187";"16148.24";"736";"21.940543"
"20713";"182";"20527.07";"629";"32.634452"
"20716";"28";"415.88";"71";"5.857465"
"20717";"137";"2807.98";"392";"7.163214"
"20718";"207";"5396.30";"531";"10.162524"
"20719";"167";"13080.45";"684";"19.123465"
"20723";"200";"11397.73";"674";"16.910579"
"20724";"271";"18370.35";"906";"20.276325"
"20725";"455";"28330.81";"1393";"20.337983"
"20726";"304";"13190.53";"872";"15.126755"
"20727";"427";"20073.76";"1217";"16.494462"
"20728";"434";"18044.78";"1066";"16.927561"
"20731";"9";"109.96";"19";"5.787368"
"20733";"28";"724.21";"203";"3.567537"
"20734";"1";"271.22";"29";"9.352414"
"20735";"11";"624.95";"113";"5.530531"
"20738";"1";"0.00";"1";"0.000000"
"20748";"27";"569.43";"36";"15.817500"
"20749";"189";"10471.71";"307";"34.109805"
"20750";"154";"6378.59";"237";"26.913882"
"20751";"117";"1537.64";"181";"8.495249"
"20752";"87";"725.15";"140";"5.179643"
"20754";"141";"2331.24";"283";"8.237597"
"20755";"41";"236.32";"57";"4.145965"
"20756";"20";"48.45";"21";"2.307143"
"20757";"31";"144.29";"33";"4.372424"
"20758";"36";"137.70";"43";"3.202326"
"20759";"18";"54.40";"21";"2.590476"
"20760";"18";"53.55";"20";"2.677500"
"20761";"43";"434.72";"57";"7.626667"
"20762";"42";"405.08";"55";"7.365091"
"20763";"24";"190.04";"26";"7.309231"
"20764";"43";"543.31";"71";"7.652254"
"20765";"45";"416.05";"58";"7.173276"
"20766";"37";"441.07";"52";"8.482115"
"20767";"45";"503.96";"72";"6.999444"
"20768";"31";"425.82";"54";"7.885556"
"20769";"20";"184.41";"31";"5.948710"
"20770";"23";"431.95";"70";"6.170714"
"20771";"20";"249.28";"38";"6.560000"
"20772";"37";"549.79";"61";"9.012951"
"20773";"22";"92.40";"25";"3.696000"
"20774";"21";"132.99";"47";"2.829574"
"20775";"20";"235.19";"65";"3.618308"
"20777";"31";"267.64";"77";"3.475844"
"20778";"9";"24.75";"10";"2.475000"
"20780";"13";"251.64";"27";"9.320000"
"20781";"19";"200.49";"25";"8.019600"
"20782";"12";"327.48";"26";"12.595385"
"20785";"5";"139.86";"6";"23.310000"
"20793";"5";"20.25";"6";"3.375000"
"20794";"14";"208.84";"26";"8.032308"
"20795";"6";"87.85";"11";"7.986364"
"20796";"8";"84.14";"8";"10.517500"
"20798";"7";"69.00";"7";"9.857143"
"20801";"45";"1093.86";"80";"13.673250"
"20802";"40";"914.90";"62";"14.756452"
"20803";"24";"415.24";"39";"10.647179"
"20816";"2";"15.60";"3";"5.200000"
"20818";"3";"42.70";"5";"8.540000"
"20819";"13";"195.97";"23";"8.520435"
"20820";"3";"24.75";"3";"8.250000"
"20821";"6";"24.75";"8";"3.093750"
"20823";"7";"132.72";"9";"14.746667"
"20825";"1";"0.00";"1";"0.000000"
"20826";"8";"128.40";"10";"12.840000"
"20827";"2";"34.32";"3";"11.440000"
"20828";"109";"2715.23";"225";"12.067689"
"20829";"89";"2467.29";"192";"12.850469"
"20830";"21";"407.73";"38";"10.729737"
"20831";"18";"444.45";"37";"12.012162"
"20832";"47";"571.82";"83";"6.889398"
"20835";"8";"64.77";"8";"8.096250"
"20836";"12";"101.26";"15";"6.750667"
"20837";"12";"122.55";"13";"9.426923"
"20838";"28";"420.65";"55";"7.648182"
"20839";"41";"779.24";"100";"7.792400"
"20840";"32";"571.12";"72";"7.932222"
"20845";"7";"120.65";"11";"10.968182"
"20846";"49";"918.57";"86";"10.681047"
"20847";"11";"172.58";"15";"11.505333"
"20848";"7";"61.95";"8";"7.743750"
"20849";"1";"0.00";"1";"0.000000"
"20850";"1";"0.00";"1";"0.000000"
"20851";"6";"53.55";"8";"6.693750"
"20854";"17";"363.22";"44";"8.255000"
"20856";"23";"287.99";"59";"4.881186"
"20857";"8";"28.05";"10";"2.805000"
"20860";"1";"2.10";"2";"1.050000"
"20861";"2";"4.20";"2";"2.100000"
"20863";"1";"0.00";"1";"0.000000"
"20864";"1";"0.00";"1";"0.000000"
"20866";"29";"426.25";"84";"5.074405"
"20867";"22";"370.97";"60";"6.182833"
"20868";"29";"212.72";"44";"4.834545"
"20869";"17";"80.13";"27";"2.967778"
"20871";"1";"8.42";"1";"8.420000"
"20878";"8";"31.25";"8";"3.906250"
"20886";"55";"951.13";"104";"9.145481"
"20892";"2";"39.96";"6";"6.660000"
"20893";"16";"520.67";"28";"18.595357"
"20894";"10";"108.71";"15";"7.247333"
"20896";"1";"0.00";"1";"0.000000"
"20897";"9";"245.17";"24";"10.215417"
"20898";"5";"88.03";"15";"5.868667"
"20901";"3";"78.78";"16";"4.923750"
"20902";"4";"475.22";"54";"8.800370"
"20903";"10";"411.38";"56";"7.346071"
"20906";"3";"8.85";"3";"2.950000"
"20910";"3";"50.80";"4";"12.700000"
"20914";"327";"14603.70";"817";"17.874786"
"20931";"33";"962.50";"66";"14.583333"
"20932";"22";"563.89";"35";"16.111143"
"20933";"10";"71.05";"10";"7.105000"
"20934";"21";"308.00";"32";"9.625000"
"20935";"4";"17.70";"4";"4.425000"
"20936";"21";"299.01";"34";"8.794412"
"20941";"15";"81.28";"22";"3.694545"
"20950";"1";"0.00";"1";"0.000000"
"20954";"1";"16.94";"3";"5.646667"
"20956";"51";"1127.77";"104";"10.843942"
"20960";"1";"72.49";"10";"7.249000"
"20961";"76";"1506.68";"216";"6.975370"
"20963";"72";"1684.92";"212";"7.947736"
"20964";"2";"5.10";"2";"2.550000"
"20966";"24";"959.05";"95";"10.095263"
"20967";"58";"836.69";"77";"10.866104"
"20969";"151";"5962.89";"295";"20.213186"
"20970";"134";"3664.08";"247";"14.834332"
"20971";"256";"10191.19";"493";"20.671785"
"20972";"294";"8333.67";"593";"14.053406"
"20973";"173";"2307.52";"331";"6.971360"
"20974";"182";"3704.53";"338";"10.960148"
"20975";"212";"3491.47";"344";"10.149622"
"20977";"81";"1296.71";"147";"8.821156"
"20978";"122";"2048.12";"250";"8.192480"
"20979";"132";"2602.72";"275";"9.464436"
"20980";"11";"76.91";"21";"3.662381"
"20981";"135";"1406.52";"218";"6.451927"
"20982";"152";"1769.32";"246";"7.192358"
"20983";"162";"1918.36";"239";"8.026611"
"20984";"123";"989.36";"158";"6.261772"
"20985";"60";"1386.16";"119";"11.648403"
"20986";"41";"833.49";"113";"7.376018"
"20992";"158";"1826.91";"269";"6.791487"
"20996";"123";"699.14";"220";"3.177909"
"20997";"3";"203.16";"31";"6.553548"
"20998";"23";"381.15";"64";"5.955469"
"21000";"13";"271.59";"49";"5.542653"
"21001";"10";"294.64";"47";"6.268936"
"21002";"3";"386.16";"62";"6.228387"
"21003";"6";"428.83";"43";"9.972791"
"21009";"1";"1.25";"2";"0.625000"
"21011";"3";"29.00";"4";"7.250000"
"21012";"64";"2574.15";"196";"13.133418"
"21014";"62";"567.74";"116";"4.894310"
"21015";"56";"547.21";"137";"3.994234"
"21018";"5";"22.06";"7";"3.151429"
"21025";"13";"208.52";"54";"3.861481"
"21026";"19";"305.75";"66";"4.632576"
"21027";"15";"176.54";"43";"4.105581"
"21028";"16";"239.24";"58";"4.124828"
"21030";"18";"158.45";"31";"5.111290"
"21031";"9";"52.99";"18";"2.943889"
"21032";"13";"106.53";"29";"3.673448"
"21033";"72";"4627.26";"302";"15.322053"
"21034";"475";"1811.65";"862";"2.101682"
"21035";"126";"5589.65";"358";"15.613547"
"21038";"21";"80.85";"25";"3.234000"
"21039";"35";"767.19";"64";"11.987344"
"21040";"9";"29.70";"10";"2.970000"
"21041";"94";"3602.83";"246";"14.645650"
"21042";"58";"1647.83";"113";"14.582566"
"21043";"52";"1096.96";"90";"12.188444"
"21051";"23";"364.60";"53";"6.879245"
"21054";"18";"269.54";"23";"11.719130"
"21055";"52";"1119.88";"89";"12.582921"
"21056";"38";"1010.30";"62";"16.295161"
"21058";"50";"431.05";"97";"4.443814"
"21059";"58";"410.93";"83";"4.950964"
"21060";"44";"313.39";"67";"4.677463"
"21061";"44";"347.15";"76";"4.567763"
"21062";"46";"342.63";"62";"5.526290"
"21063";"60";"381.81";"96";"3.977188"
"21064";"37";"1141.20";"94";"12.140426"
"21065";"30";"1131.38";"87";"13.004368"
"21066";"33";"664.72";"54";"12.309630"
"21067";"30";"469.77";"81";"5.799630"
"21068";"74";"1707.76";"191";"8.941152"
"21069";"35";"1507.46";"87";"17.327126"
"21070";"50";"1163.73";"105";"11.083143"
"21071";"70";"1333.92";"177";"7.536271"
"21078";"134";"2113.79";"295";"7.165390"
"21080";"352";"8542.66";"841";"10.157741"
"21082";"1";"143.44";"26";"5.516923"
"21084";"75";"640.30";"163";"3.928221"
"21086";"107";"3147.04";"320";"9.834500"
"21087";"8";"35.57";"15";"2.371333"
"21088";"56";"292.56";"89";"3.287191"
"21089";"23";"46.71";"25";"1.868400"
"21090";"83";"1051.07";"200";"5.255350"
"21094";"119";"4840.04";"418";"11.579043"
"21095";"7";"67.73";"13";"5.210000"
"21096";"53";"413.93";"92";"4.499239"
"21098";"110";"4914.35";"246";"19.977033"
"21100";"8";"162.21";"28";"5.793214"
"21106";"27";"622.86";"49";"12.711429"
"21107";"43";"2345.96";"90";"26.066222"
"21108";"141";"10943.65";"236";"46.371398"
"21109";"51";"2616.36";"109";"24.003303"
"21110";"56";"3417.35";"127";"26.908268"
"21111";"43";"1551.47";"90";"17.238556"
"21112";"35";"2712.03";"79";"34.329494"
"21114";"95";"1531.09";"123";"12.447886"
"21115";"93";"2476.42";"145";"17.078759"
"21116";"72";"3731.34";"244";"15.292377"
"21117";"10";"119.25";"12";"9.937500"
"21120";"1";"9.99";"2";"4.995000"
"21121";"185";"4167.73";"297";"14.032761"
"21122";"176";"3698.95";"281";"13.163523"
"21123";"57";"840.84";"138";"6.093043"
"21124";"143";"2360.96";"186";"12.693333"
"21125";"41";"400.98";"79";"5.075696"
"21126";"42";"481.45";"106";"4.541981"
"21128";"11";"414.38";"33";"12.556970"
"21129";"15";"375.98";"28";"13.427857"
"21131";"11";"381.02";"27";"14.111852"
"21132";"11";"166.36";"19";"8.755789"
"21134";"1";"0.00";"1";"0.000000"
"21135";"113";"2835.56";"167";"16.979401"
"21136";"251";"7071.45";"352";"20.089347"
"21137";"131";"39387.00";"359";"109.713092"
"21143";"28";"705.28";"40";"17.632000"
"21144";"1";"16.80";"3";"5.600000"
"21145";"8";"137.50";"9";"15.277778"
"21147";"12";"415.77";"80";"5.197125"
"21154";"141";"4839.51";"400";"12.098775"
"21155";"191";"8086.25";"460";"17.578804"
"21156";"158";"4290.05";"289";"14.844464"
"21157";"13";"227.60";"34";"6.694118"
"21158";"101";"735.44";"167";"4.403832"
"21159";"71";"563.16";"121";"4.654215"
"21160";"1";"3.36";"2";"1.680000"
"21161";"24";"195.12";"44";"4.434545"
"21162";"96";"721.91";"157";"4.598153"
"21163";"85";"662.41";"126";"5.257222"
"21164";"147";"3393.58";"252";"13.466587"
"21165";"160";"5413.12";"424";"12.766792"
"21166";"275";"18152.38";"691";"26.269725"
"21167";"21";"326.64";"68";"4.803529"
"21169";"185";"5289.19";"432";"12.243495"
"21171";"39";"315.14";"67";"4.703582"
"21172";"227";"5079.08";"457";"11.113961"
"21174";"224";"9289.02";"536";"17.330261"
"21175";"330";"22221.77";"780";"28.489449"
"21179";"118";"1243.95";"263";"4.729848"
"21181";"351";"23376.98";"823";"28.404593"
"21186";"1";"6.72";"2";"3.360000"
"21187";"31";"651.75";"49";"13.301020"
"21188";"23";"790.35";"45";"17.563333"
"21189";"26";"865.57";"70";"12.365286"
"21190";"7";"172.70";"10";"17.270000"
"21191";"38";"1370.70";"94";"14.581915"
"21192";"32";"1855.34";"89";"20.846517"
"21194";"30";"423.17";"57";"7.424035"
"21195";"13";"876.80";"72";"12.177778"
"21196";"6";"90.68";"9";"10.075556"
"21197";"8";"164.56";"21";"7.836190"
"21198";"41";"700.55";"64";"10.946094"
"21199";"39";"659.61";"72";"9.161250"
"21200";"30";"1451.94";"71";"20.449859"
"21201";"43";"2924.07";"101";"28.951188"
"21202";"16";"283.11";"20";"14.155500"
"21204";"42";"809.04";"82";"9.866341"
"21205";"40";"549.69";"64";"8.588906"
"21206";"48";"1284.82";"100";"12.848200"
"21207";"56";"1060.25";"109";"9.727064"
"21208";"36";"380.01";"67";"5.671791"
"21209";"38";"540.47";"73";"7.403699"
"21210";"192";"4655.54";"372";"12.514892"
"21211";"47";"590.37";"90";"6.559667"
"21212";"533";"15607.49";"1130";"13.811938"
"21213";"256";"7084.13";"604";"11.728692"
"21215";"48";"679.45";"120";"5.662083"
"21216";"120";"7138.08";"376";"18.984255"
"21217";"136";"6539.59";"298";"21.944933"
"21218";"100";"5785.99";"340";"17.017618"
"21219";"26";"411.84";"78";"5.280000"
"21220";"31";"395.01";"84";"4.702500"
"21221";"22";"302.72";"51";"5.935686"
"21222";"24";"303.19";"69";"4.394058"
"21224";"52";"877.50";"153";"5.735294"
"21226";"4";"75.55";"19";"3.976316"
"21228";"3";"6.25";"3";"2.083333"
"21231";"195";"6796.56";"480";"14.159500"
"21232";"277";"13792.86";"753";"18.317211"
"21238";"121";"2337.17";"311";"7.515016"
"21239";"105";"1931.91";"261";"7.401954"
"21240";"112";"2243.29";"268";"8.370485"
"21242";"105";"3650.02";"238";"15.336218"
"21243";"72";"2584.84";"172";"15.028140"
"21244";"78";"2585.87";"160";"16.161688"
"21245";"52";"1230.57";"102";"12.064412"
"21246";"21";"738.18";"83";"8.893735"
"21248";"44";"285.77";"64";"4.465156"
"21249";"29";"604.20";"70";"8.631429"
"21250";"14";"221.27";"18";"12.292778"
"21251";"19";"271.03";"30";"9.034333"
"21253";"12";"504.87";"59";"8.557119"
"21257";"93";"5345.04";"249";"21.466024"
"21258";"59";"4391.69";"160";"27.448063"
"21259";"128";"6304.17";"268";"23.523022"
"21260";"94";"2746.48";"152";"18.068947"
"21261";"21";"498.87";"39";"12.791538"
"21262";"41";"1061.64";"74";"14.346486"
"21263";"32";"329.67";"42";"7.849286"
"21264";"36";"466.35";"46";"10.138043"
"21265";"15";"220.41";"17";"12.965294"
"21268";"1";"0.84";"1";"0.840000"
"21269";"18";"247.99";"20";"12.399500"
"21270";"12";"426.66";"34";"12.548824"
"21272";"47";"746.32";"104";"7.176154"
"21274";"1";"0.00";"1";"0.000000"
"21275";"11";"79.92";"16";"4.995000"
"21277";"16";"179.82";"18";"9.990000"
"21278";"8";"109.65";"9";"12.183333"
"21279";"9";"207.50";"27";"7.685185"
"21280";"11";"150.45";"11";"13.677273"
"21281";"7";"129.63";"15";"8.642000"
"21282";"1";"0.00";"1";"0.000000"
"21283";"1";"0.00";"1";"0.000000"
"21284";"23";"260.02";"38";"6.842632"
"21285";"25";"313.32";"39";"8.033846"
"21286";"14";"256.16";"25";"10.246400"
"21287";"46";"702.79";"52";"13.515192"
"21288";"30";"902.86";"107";"8.437944"
"21289";"16";"383.75";"45";"8.527778"
"21291";"31";"792.44";"50";"15.848800"
"21292";"21";"294.35";"23";"12.797826"
"21293";"14";"264.12";"23";"11.483478"
"21294";"43";"759.65";"69";"11.009420"
"21306";"34";"163.96";"43";"3.813023"
"21307";"11";"39.20";"13";"3.015385"
"21310";"1";"9.99";"1";"9.990000"
"21311";"40";"167.12";"52";"3.213846"
"21313";"94";"2781.11";"209";"13.306746"
"21314";"208";"9341.93";"530";"17.626283"
"21316";"10";"214.73";"17";"12.631176"
"21317";"22";"649.29";"33";"19.675455"
"21318";"35";"364.63";"47";"7.758085"
"21319";"12";"164.23";"20";"8.211500"
"21320";"10";"334.22";"21";"15.915238"
"21324";"20";"241.97";"30";"8.065667"
"21326";"161";"6773.47";"333";"20.340751"
"21327";"99";"1464.33";"251";"5.833984"
"21328";"123";"2162.93";"331";"6.534532"
"21329";"114";"1578.49";"278";"5.678022"
"21330";"1";"0.00";"1";"0.000000"
"21331";"7";"109.89";"7";"15.698571"
"21332";"8";"125.69";"13";"9.668462"
"21333";"16";"168.16";"16";"10.510000"
"21336";"4";"54.57";"10";"5.457000"
"21337";"1";"0.00";"1";"0.000000"
"21340";"165";"8660.35";"268";"32.314739"
"21344";"5";"69.69";"6";"11.615000"
"21348";"6";"361.56";"7";"51.651429"
"21349";"7";"103.95";"14";"7.425000"
"21351";"26";"503.43";"33";"15.255455"
"21352";"35";"1366.21";"76";"17.976447"
"21354";"48";"872.71";"86";"10.147791"
"21355";"87";"871.33";"112";"7.779732"
"21356";"32";"620.80";"144";"4.311111"
"21357";"9";"21.25";"11";"1.931818"
"21358";"47";"387.04";"99";"3.909495"
"21359";"22";"651.02";"31";"21.000645"
"21360";"13";"188.38";"15";"12.558667"
"21361";"43";"1008.99";"71";"14.211127"
"21363";"68";"1285.11";"125";"10.280880"
"21364";"20";"205.47";"25";"8.218800"
"21365";"32";"321.09";"47";"6.831702"
"21366";"9";"457.42";"45";"10.164889"
"21367";"30";"199.49";"43";"4.639302"
"21368";"26";"144.03";"33";"4.364545"
"21369";"12";"158.99";"15";"10.599333"
"21370";"8";"85.84";"9";"9.537778"
"21371";"24";"195.96";"32";"6.123750"
"21372";"17";"89.30";"31";"2.880645"
"21373";"40";"353.04";"46";"7.674783"
"21374";"36";"445.04";"44";"10.114545"
"21375";"9";"288.71";"26";"11.104231"
"21376";"13";"172.81";"16";"10.800625"
"21377";"18";"205.78";"40";"5.144500"
"21378";"21";"198.09";"33";"6.002727"
"21379";"22";"231.83";"49";"4.731224"
"21380";"119";"5177.76";"261";"19.838161"
"21381";"81";"1834.67";"212";"8.654104"
"21382";"63";"1311.68";"126";"10.410159"
"21383";"72";"705.13";"163";"4.325951"
"21385";"149";"2983.53";"312";"9.562596"
"21386";"41";"256.12";"46";"5.567826"
"21389";"78";"904.73";"124";"7.296210"
"21390";"118";"3662.29";"206";"17.778107"
"21391";"66";"1011.79";"105";"9.636095"
"21392";"5";"33.79";"7";"4.827143"
"21393";"8";"38.67";"8";"4.833750"
"21394";"69";"1230.93";"112";"10.990446"
"21395";"52";"924.56";"79";"11.703291"
"21397";"42";"497.99";"63";"7.904603"
"21398";"39";"648.24";"59";"10.987119"
"21399";"46";"759.24";"68";"11.165294"
"21400";"43";"128.63";"72";"1.786528"
"21401";"46";"128.87";"77";"1.673636"
"21402";"46";"156.36";"83";"1.883855"
"21403";"51";"281.50";"93";"3.026882"
"21407";"77";"1365.86";"136";"10.043088"
"21408";"46";"1194.61";"111";"10.762252"
"21410";"1";"8.47";"2";"4.235000"
"21411";"140";"2678.83";"224";"11.959063"
"21412";"1";"0.00";"1";"0.000000"
"21413";"9";"75.02";"17";"4.412941"
"21414";"2";"2.10";"3";"0.700000"
"21415";"25";"441.82";"45";"9.818222"
"21416";"5";"18.75";"5";"3.750000"
"21417";"25";"627.70";"69";"9.097101"
"21418";"12";"189.75";"25";"7.590000"
"21420";"13";"123.66";"19";"6.508421"
"21421";"11";"273.43";"16";"17.089375"
"21422";"31";"1182.80";"62";"19.077419"
"21424";"12";"1101.62";"61";"18.059344"
"21425";"12";"302.79";"29";"10.441034"
"21426";"8";"411.88";"37";"11.131892"
"21427";"21";"201.84";"39";"5.175385"
"21428";"99";"4165.88";"235";"17.727149"
"21429";"121";"2434.30";"254";"9.583858"
"21430";"156";"10416.15";"427";"24.393794"
"21431";"1";"0.00";"1";"0.000000"
"21432";"1";"0.00";"1";"0.000000"
"21439";"38";"613.42";"110";"5.576545"
"21441";"30";"218.93";"54";"4.054259"
"21442";"27";"253.23";"52";"4.869808"
"21445";"17";"257.50";"24";"10.729167"
"21446";"43";"509.67";"100";"5.096700"
"21447";"54";"1425.60";"147";"9.697959"
"21448";"46";"521.67";"74";"7.049595"
"21452";"77";"1482.76";"150";"9.885067"
"21454";"41";"475.81";"135";"3.524519"
"21455";"32";"495.54";"117";"4.235385"
"21456";"17";"205.97";"25";"8.238800"
"21457";"15";"160.89";"24";"6.703750"
"21458";"17";"236.54";"34";"6.957059"
"21459";"17";"123.08";"19";"6.477895"
"21460";"9";"45.08";"10";"4.508000"
"21461";"6";"21.91";"7";"3.130000"
"21462";"55";"864.45";"69";"12.528261"
